+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                     ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                 ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|wr_ptr                                                                      ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|rd_ptr_count                                                                ; 4     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram|altsyncram2                                                         ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|FIFOram                                                                     ; 24    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state|count_usedw                                                      ; 5     ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo|fifo_state                                                                  ; 5     ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_w|wfifo|auto_generated|dpfifo                                                                             ; 13    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_w|wfifo|auto_generated                                                                                    ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0|the_nios_system_jtag_uart_0_scfifo_w                                                                                                         ; 12    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|jtag_uart_0                                                                                                                                              ; 38    ; 10             ; 23           ; 10             ; 34     ; 10              ; 10            ; 10              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_jtag_debug_module_wrapper|the_nios_system_cpu_0_jtag_debug_module_sysclk                     ; 43    ; 0              ; 0            ; 0              ; 51     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_jtag_debug_module_wrapper|the_nios_system_cpu_0_jtag_debug_module_tck                        ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_jtag_debug_module_wrapper                                                                    ; 123   ; 0              ; 0            ; 0              ; 53     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_im|nios_system_cpu_0_traceram_lpm_dram_bdp_component|the_altsyncram|auto_generated ; 92    ; 0              ; 0            ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_im|nios_system_cpu_0_traceram_lpm_dram_bdp_component                               ; 92    ; 2              ; 0            ; 2              ; 72     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_im                                                                                 ; 97    ; 36             ; 17           ; 36             ; 48     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_pib                                                                                ; 39    ; 20             ; 38           ; 20             ; 19     ; 20              ; 20            ; 20              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_fifo|the_nios_system_cpu_0_oci_test_bench                                          ; 36    ; 0              ; 36           ; 0              ; 0      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_fifo|nios_system_cpu_0_nios2_oci_fifocount_inc_fifocount                           ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_fifo|nios_system_cpu_0_nios2_oci_fifowp_inc_fifowp                                 ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_fifo|nios_system_cpu_0_nios2_oci_compute_tm_count_tm_count                         ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_fifo                                                                               ; 151   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_dtrace|nios_system_cpu_0_nios2_oci_trc_ctrl_td_mode                                ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_dtrace                                                                             ; 106   ; 0              ; 95           ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_itrace                                                                             ; 25    ; 17             ; 23           ; 17             ; 87     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_dbrk                                                                               ; 91    ; 0              ; 0            ; 0              ; 95     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_xbrk                                                                               ; 56    ; 5              ; 53           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_break                                                                              ; 52    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_avalon_reg                                                                             ; 49    ; 0              ; 28           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_ocimem|nios_system_cpu_0_ociram_lpm_dram_bdp_component|the_altsyncram|auto_generated   ; 90    ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_ocimem|nios_system_cpu_0_ociram_lpm_dram_bdp_component                                 ; 90    ; 2              ; 0            ; 2              ; 64     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_ocimem                                                                                 ; 93    ; 0              ; 6            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci|the_nios_system_cpu_0_nios2_oci_debug                                                                              ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_nios2_oci                                                                                                                    ; 163   ; 0              ; 0            ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|nios_system_cpu_0_register_bank_b|the_altsyncram|auto_generated                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|nios_system_cpu_0_register_bank_b                                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|nios_system_cpu_0_register_bank_a|the_altsyncram|auto_generated                                                                                    ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|nios_system_cpu_0_register_bank_a                                                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0|the_nios_system_cpu_0_test_bench                                                                                                                   ; 469   ; 3              ; 432          ; 3              ; 34     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|cpu_0                                                                                                                                                    ; 149   ; 0              ; 29           ; 0              ; 114    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_counter_expire                                                                                                                            ; 39    ; 0              ; 31           ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_value                                                                                                                                     ; 30    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_load_config                                                                                                                               ; 38    ; 30             ; 30           ; 30             ; 34     ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_load                                                                                                                                      ; 38    ; 31             ; 31           ; 31             ; 33     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|custom_counter_reset_counter                                                                                                                             ; 38    ; 31             ; 31           ; 31             ; 33     ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|led_green_o                                                                                                                                              ; 38    ; 23             ; 23           ; 23             ; 41     ; 23              ; 23            ; 23              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|led_red_o                                                                                                                                                ; 38    ; 14             ; 14           ; 14             ; 50     ; 14              ; 14            ; 14              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|push_button_i                                                                                                                                            ; 42    ; 0              ; 28           ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|switch_i                                                                                                                                                 ; 21    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst|sram_0                                                                                                                                                   ; 40    ; 0              ; 0            ; 0              ; 40     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; nios_system_inst                                                                                                                                                          ; 50    ; 0              ; 0            ; 0              ; 54     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
